,0
1.7,2.8022488314134426
3.9,2.643948976649524
2.7,0.9412386815809175
2.5,2.9536099588769598
-1.5,3.4376498751248747
2.9,1.8659607373700007
0.8,0.7869200119019085
4.6,2.2474356763805443
2.3,2.5830395540213833
1.6,2.3450299619309614
2.5,1.486033344664296
0.1,2.152466283400512
2.7,2.3026786787804485
1.8,2.264640448572162
4.5,3.1705170654916364
3.5,2.714349012770164
-2.1,1.5607112244157677
4.6,2.631061717192842
3.5,2.898087587471491
2.6,1.3768373504314115
0.2,0.817696839701213
2.3,2.5242828874541123
1.5,1.3822010250153536
0.7,1.7312968514665752
0.5,0.7812235804368634
1.2,1.9299156293280233
2.9,0.8123935078810067
1.9,2.601424916002049
0.7,2.6889101714498636
2.6,2.334942434215009
3.0,2.799629876191675
2.6,2.94348043884928
2.3,2.697876020171697
4.1,2.769684362688233
3.5,3.3169089561181524
2.6,2.691803337822685
3.2,2.0663599097975065
2.1,2.2538992381008986
1.9,2.94462859751902
2.1,1.9393045689525734
-4.8,2.467276625684213
-32.9,-4.018288033155141
33.1,1.5506105563547354
4.0,7.434935440736406
6.4,3.371937532604062
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
